,Unnamed: 0,Uni,Links,Target Link
167,167,ÖZYEĞİN ÜNİVERSİTESİ,ozyegin.edu.tr,https://avesis.ozyegin.edu.tr/proxy/search/_search
168,168,PAMUKKALE ÜNİVERSİTESİ,pau.edu.tr,https://avesis.pau.edu.tr/proxy/search/_search
169,169,PİRİ REİS ÜNİVERSİTESİ,pirireis.edu.tr,https://avesis.pirireis.edu.tr/proxy/search/_search
170,170,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,erdogan.edu.tr,https://avesis.erdogan.edu.tr/proxy/search/_search
171,171,SABANCI ÜNİVERSİTESİ,sabanciuniv.edu,https://avesis.sabanciuniv.edu/proxy/search/_search
172,172,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,sbu.edu.tr,https://avesis.sbu.edu.tr/proxy/search/_search
173,173,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,subu.edu.tr,https://avesis.subu.edu.tr/proxy/search/_search
174,174,SAKARYA ÜNİVERSİTESİ,sakarya.edu.tr,https://avesis.sakarya.edu.tr/proxy/search/_search
175,175,SAMSUN ÜNİVERSİTESİ,samsun.edu.tr,https://avesis.samsun.edu.tr/proxy/search/_search
176,176,SANKO ÜNİVERSİTESİ,sanko.edu.tr,https://avesis.sanko.edu.tr/proxy/search/_search
177,177,SELÇUK ÜNİVERSİTESİ,selcuk.edu.tr,https://avesis.selcuk.edu.tr/proxy/search/_search
178,178,SİİRT ÜNİVERSİTESİ,siirt.edu.tr,https://avesis.siirt.edu.tr/proxy/search/_search
179,179,SİNOP ÜNİVERSİTESİ,sinop.edu.tr,https://avesis.sinop.edu.tr/proxy/search/_search
180,180,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,sivas.edu.tr,https://avesis.sivas.edu.tr/proxy/search/_search
181,181,SİVAS CUMHURİYET ÜNİVERSİTESİ,cumhuriyet.edu.tr,https://avesis.cumhuriyet.edu.tr/proxy/search/_search
182,182,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,sdu.edu.tr,https://avesis.sdu.edu.tr/proxy/search/_search
183,183,ŞIRNAK ÜNİVERSİTESİ,sirnak.edu.tr,https://avesis.sirnak.edu.tr/proxy/search/_search
184,184,TARSUS ÜNİVERSİTESİ,tarsus.edu.tr,https://avesis.tarsus.edu.tr/proxy/search/_search
185,185,TED ÜNİVERSİTESİ,tedu.edu.tr,https://avesis.tedu.edu.tr/proxy/search/_search
186,186,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,nku.edu.tr,https://avesis.nku.edu.tr/proxy/search/_search
187,187,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,etu.edu.tr,https://avesis.etu.edu.tr/proxy/search/_search
188,188,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,gop.edu.tr,https://avesis.gop.edu.tr/proxy/search/_search
189,189,TOROS ÜNİVERSİTESİ,toros.edu.tr,https://avesis.toros.edu.tr/proxy/search/_search
190,190,TRABZON ÜNİVERSİTESİ,trabzon.edu.tr,https://avesis.trabzon.edu.tr/proxy/search/_search
191,191,TRAKYA ÜNİVERSİTESİ,trakya.edu.tr,https://avesis.trakya.edu.tr/proxy/search/_search
192,192,TÜRK HAVA KURUMU ÜNİVERSİTESİ,thk.edu.tr,https://avesis.thk.edu.tr/proxy/search/_search
193,193,TÜRK-ALMAN ÜNİVERSİTESİ,tau.edu.tr,https://avesis.tau.edu.tr/proxy/search/_search
194,194,UFUK ÜNİVERSİTESİ,ufuk.edu.tr,https://avesis.ufuk.edu.tr/proxy/search/_search
195,195,UŞAK ÜNİVERSİTESİ,usak.edu.tr,https://avesis.usak.edu.tr/proxy/search/_search
196,196,ÜSKÜDAR ÜNİVERSİTESİ,uskudar.edu.tr,https://avesis.uskudar.edu.tr/proxy/search/_search
197,197,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,yyu.edu.tr,https://avesis.yyu.edu.tr/proxy/search/_search
198,198,YALOVA ÜNİVERSİTESİ,yalova.edu.trrektorluk,https://avesis.yalova.edu.trrektorluk/proxy/search/_search
199,199,YAŞAR ÜNİVERSİTESİ,yasar.edu.tr,https://avesis.yasar.edu.tr/proxy/search/_search
200,200,YEDİTEPE ÜNİVERSİTESİ,yeditepe.edu.tr,https://avesis.yeditepe.edu.tr/proxy/search/_search
201,201,YILDIZ TEKNİK ÜNİVERSİTESİ,yildiz.edu.tr,https://avesis.yildiz.edu.tr/proxy/search/_search
202,202,YOZGAT BOZOK ÜNİVERSİTESİ,bozok.edu.tr,https://avesis.bozok.edu.tr/proxy/search/_search
203,203,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,beun.edu.tr,https://avesis.beun.edu.tr/proxy/search/_search
